,Unnamed: 0,Datetime,Text,label
27,27,2023-02-06 23:58:02+00:00,Terserah lu ANJING BANGSAT U,1
28,28,2023-02-06 23:57:56+00:00,emang hidup kadang kayak kontol,1
29,29,2023-02-06 23:57:54+00:00,ga nder tapi JANJIAN BIKIN GUE JADI GILA,0
30,30,2023-02-06 23:57:50+00:00,SI OX ANJ TAI BABI NGENTOT BRENGSEK SIALAN LU,1
31,31,2023-02-06 23:57:46+00:00,Tolol orang hukum yg dungu segera buat laporan ke polisi jangan nge anjing seperti gonggong,1
32,32,2023-02-06 23:57:45+00:00,gila pingnya wkwk i,0
33,33,2023-02-06 23:57:42+00:00,Si kontol OIi offE,1
34,34,2023-02-06 23:57:39+00:00,Otang DO goblok,1
35,35,2023-02-06 23:57:39+00:00,MAKIN GILA DILIAT LIAT NIH,0
36,36,2023-02-06 23:57:37+00:00,pagi dh kaya kontol aja,1
37,37,2023-02-06 23:57:36+00:00,Gila dijual mana kaya ga berdosa nawarinnya,0
38,38,2023-02-06 23:57:36+00:00,Sebel bgt gue bangsat jadi manusia kok malesnya mendarah daging,0
39,39,2023-02-06 23:57:35+00:00,HEEJAKE GA SIH SECUIL ARGH BISA GILA AKU,0
40,40,2023-02-06 23:57:29+00:00,BOSAN TAI,0
41,41,2023-02-06 23:57:20+00:00,Haram,0
42,42,2023-02-06 23:57:14+00:00,Rizmaya padang pantek ang,1
43,43,2023-02-06 23:57:14+00:00,Paham ga sih Kaya yg aneh banget gituu cok awalnya benci sakit ati karna udah ditolong tp balesannya kek tai tp skg malah mau nolongin lagi kek yg sepeduli itu kah dia ke temen ceweku satu ini,0
44,44,2023-02-06 23:57:10+00:00,Dan kadrun bangsat pun cuma diem karena bencana terjadi di negara yg pemimpinnya pujaan mereka kalau bencana terjadi disini pasti yg di salahin Jokowi bener bangsat penghianat negara,1
45,45,2023-02-06 23:57:08+00:00,PLT Gubernur Hasil Undian Togel Saja Banyak Ulah Bikin Susah Rakyat Dasar Jongos Ahok Cina Tai,1
46,46,2023-02-06 23:57:06+00:00,Pecat dari PNS sekalian masa cuma dari jabatan sudah menyalahgunkan wewenang jauh sekali mobil lelang dipake anak buat mesum lagi moral etika dan gila sudah,0
47,47,2023-02-06 23:57:04+00:00,Justru mau dan gamau itu sebuah realitas keadaan lu buka mata dong ada ga cewe yg mau sedot wc dll nyatanya sedikit kan Laki yg banyak ngerjain demi ngidupin keluarganya yg notabene pasti ada cewenya jg konsep gini aja lu goblok ga paham minta kesetaraan belajar lg dek,0
48,48,2023-02-06 23:57:00+00:00,y emg udah ga baca manganya lagi si dri lama tp knp kaya kesel pas kena spoiler tolol,0
49,49,2023-02-06 23:57:00+00:00,Gila ini institusi gak tobat fjzx,0
50,50,2023-02-06 23:56:59+00:00,orang tu klo ngomong enak bgt gpp cari yg lain cowo masih bnyk ya iya gw jg tau masalahnya part tersedih kek orang gila nya ini yg bikin susah buat move off anjrit kadang jg masih tbtb kgn sialan gw jg ga mau begini tp ya gmna suka kek tbtb gtu keinget T,0
51,51,2023-02-06 23:56:57+00:00,Lo tolol apa gmn sih,0
52,52,2023-02-06 23:56:56+00:00,occey sebab dah lama gila on off sakit geraham tu jaksbsksb geram,0
53,53,2023-02-06 23:56:52+00:00,GILA BGT,1
54,54,2023-02-06 23:56:52+00:00,daily Bangsat lucu banget,0
55,55,2023-02-06 23:56:50+00:00,gw suka kontol lo beb,1
56,56,2023-02-06 23:56:47+00:00,Gada otak lu tolol,1
57,57,2023-02-06 23:56:45+00:00,Kwkwkwkw selama ga baper Nggak homo tai kwkwkwkwkwkwkwl,1
58,58,2023-02-06 23:56:44+00:00,Akad kredit aemua udh sepakat gk ada paksaan koq haram Emang buat beli kertas bayar listrik pulpen gaji karyawan semua itu pake apa bro,0
59,59,2023-02-06 23:56:39+00:00,emng ada gila gilanya,0
60,60,2023-02-06 23:56:35+00:00,tolol lupa bawa dompet,0
61,61,2023-02-06 23:56:25+00:00,Apasih goblok yang jelas posisi LDR bapak ya wajar kangen anak lah Apa yang salah Ngeri kenapa Lu kenapa anjir,0
62,62,2023-02-06 23:56:23+00:00,bajingan lu takdir,1
63,63,2023-02-06 23:56:08+00:00,Seperti org tolol,1
64,64,2023-02-06 23:56:01+00:00,cowo goblok,1
65,65,2023-02-06 23:55:55+00:00,kemarin dilempar batu sama orang gila hari ini dipelototin orang dari motor sebrang aku lagi kenapa ya,0
66,66,2023-02-06 23:55:53+00:00,id diblokir sama dokter gila,1
67,67,2023-02-06 23:55:45+00:00,ayinh gila banget tu orang,1
68,68,2023-02-06 23:55:43+00:00,Tolol bgt gue ngakak bgt,1
69,69,2023-02-06 23:55:41+00:00,Malem ini harus tidur cepet sih gila,0
70,70,2023-02-06 23:55:41+00:00,menieb Haram,1
71,71,2023-02-06 23:55:39+00:00,Gila reformasi total bubar Indonesia balik era diktator,0
72,72,2023-02-06 23:55:37+00:00,fara tak lah i rasa style gila kot maybe pengaruh tonton cerita korea kalau pakai pakaian warna earth tersangatlah cantik,0
73,73,2023-02-06 23:55:29+00:00,Bangsat,1
74,74,2023-02-06 23:55:27+00:00,udh gila blm,0
75,75,2023-02-06 23:55:18+00:00,Fans yang kayak gini yang makan duit haram tiap hari dengan lahap hahaha sekali dicekoki fakta fouling finacial malah nyerang club lain dut badut,0
76,76,2023-02-06 23:55:16+00:00,gila secepat ini kah waktu bener cpt bgt,0
77,77,2023-02-06 23:55:15+00:00,Yy Ada yg pernah bilang bahwa semua ini justru tujuannya adalah DIPAKSAKANNYA SUNTIKAN CAIRAN SETAN HARAM BERACUN yang disebut VAKSIN COVID,0
78,78,2023-02-06 23:55:15+00:00,Abi kin pe Rexxie,0
79,79,2023-02-06 23:55:14+00:00,Reply nya tolol semua,1
80,80,2023-02-06 23:55:11+00:00,Wah gila sih seniat itu head unit loh yang di colong emang itu jalan sesepi itu Sampai orang gaada yang liat bang,0
81,81,2023-02-06 23:55:09+00:00,Mimpinya serem banget gila dikejar kejar mulu,0
82,82,2023-02-06 23:55:08+00:00,Tai bgt gajadi sekolah,0
83,83,2023-02-06 23:55:05+00:00,Apabila menjadi suara pembangkang yang sedang tercalit dengan kontroversi Dana Haram Maka di susurkan pula perpektif menyimpang Anwar telah jemput SPRM siasat PH Dan BN lupa ke,0
84,84,2023-02-06 23:54:57+00:00,haram kda,0
85,85,2023-02-06 23:54:55+00:00,kontol liat gituan gausa ngajak,1
86,86,2023-02-06 23:54:52+00:00,Kaka cuki baru kasi isap batang kontol boleh yoo,1
87,87,2023-02-06 23:54:51+00:00,Hukum Allah haram tetap haram Siapa kita nak langgar hukum Allah Ponteng kerja ambil gaji pun haram tetap haram Manusia tak boleh halal kan hukum Allah,0
88,88,2023-02-06 23:54:49+00:00,pasti ujung nya anak haram,1
89,89,2023-02-06 23:54:46+00:00,Kwkwks emang kocak geming lu konsep sederhana tentang kesetaraan aja kagak paham kok minta kesetaraan goblok goblokin orang lg la iya gua nanya kok malah ditolol tololin emang generasi ky lu tu harusnya di skip aja ga guna kwkwkw,0
90,90,2023-02-06 23:54:41+00:00,Apa ni cakap dah tak wajib pakai mask dekat dalam kilang Tapi asal ramai naw masih pakai rimas do pakai mask aku tak boleh la kalau masih ramai pakai ni Kalau aku tak pakai jadi macam awkward gila Macam aku dekat alam lain,0
91,91,2023-02-06 23:54:40+00:00,Ini adalag contoh org tolol masih nanya yay or nay sgitu siang ya bgst gimana lo kalau kerja di pabrik subuh musti udh berangkat,0
92,92,2023-02-06 23:54:39+00:00,Haram ka paisa jo lagaya hua digital media per ads b deay jatay Nawaza b jata fahad najam etc Credibility zero Iss aurat ki Or manhoos inteha ki apni he party tabah kr di PMLn ka koi ticket bai lenay wala hoga agay,1
93,93,2023-02-06 23:54:35+00:00,kontol masih pagi,1
94,94,2023-02-06 23:54:22+00:00,BANGSAT,1
95,95,2023-02-06 23:54:21+00:00,cowok yang kaya begini nih harusnya divasektomi biar ga menyebarkan keturunan tolol bin dongok,1
96,96,2023-02-06 23:54:13+00:00,najis bgt aku sama orang tu sok iya tolol,1
97,97,2023-02-06 23:54:03+00:00,ni orang goblok apa gimana ya,1
98,98,2023-02-06 23:53:49+00:00,udahlah kalo goblok jangan di umbar gini,0
99,99,2023-02-06 23:53:42+00:00,keknya emang ini orang pengen ngatain tolol tapi ditahan karena gaenakan pas di kasih pass langsung di gasin JNR kPsFF,0
100,100,2023-02-06 23:53:36+00:00,orang gila,0
101,101,2023-02-06 23:53:36+00:00,AJGG nyuruh enk bgt wkwkw gliran di mnta kek gt wkwkwkw bangsat,1
102,102,2023-02-06 23:53:32+00:00,Lo yg gila Tari anjing,1
103,103,2023-02-06 23:53:32+00:00,Happy nder ayoo baca gila inisih rawr bgt,0
104,104,2023-02-06 23:53:27+00:00,Mangat hidup emang kadang kek bajingan,0
105,105,2023-02-06 23:53:25+00:00,Bangsat kirian gue iklan ip,1
106,106,2023-02-06 23:53:24+00:00,Umat islam aja yang bodoh tolol Umat buih yg bisa cuma keluh kesah tanpa berani bersatu melawan pembodohan covid oleh elit,0
107,107,2023-02-06 23:53:23+00:00,orang gila,0
108,108,2023-02-06 23:53:19+00:00,lu knp kontol,1
109,109,2023-02-06 23:53:18+00:00,waras Dungu akut v muslim dungu malu maluin Walkot x Gubernur Jateng Gubernur DKI RI X kok nuduh palsu hadueh nalarna ketutup kontol onta,1
110,110,2023-02-06 23:53:17+00:00,Pendukungnya goblok amat ya maunya donasi buat sampah Kalo jd presiden ngutang diem dipake hibah ormas sono sini ape ga ancur,1
111,111,2023-02-06 23:53:09+00:00,BANGSAT BANYAK BGT KELUAR UANG promnight lah apa lah babi,1
112,112,2023-02-06 23:52:55+00:00,Terkadang cinta itu datang tiba Anehnya kadang mampir ke musuh,0
113,113,2023-02-06 23:52:49+00:00,padahal banyak kata lain yg lebih sopan bukan gila hormat tapi lebih enak kan kalo chat pake haloo haii lebih sopan juga,0
114,114,2023-02-06 23:52:43+00:00,bacotnya,1
115,115,2023-02-06 23:52:42+00:00,sajak Kalau semua tuh seluruh rakyat yang ngaku punya KTP Indonesia Goblok termasuk Mimin yang nulis ikut Goblok dan Bayi yang baru lahir berikut orang jompo nya kenapa nggak di tonjolk aje temen nye udah nyindir goblok mimin,1
116,116,2023-02-06 23:52:41+00:00,SEUNGO GILA DI KOR MASI PAKE SLEEVELESS,1
117,117,2023-02-06 23:52:36+00:00,Lo ngaca anjing tolol juga lu goblok Pagi tu berangkat kerja malah bacot,1
118,118,2023-02-06 23:52:33+00:00,dia yang sharing sg nj ready jp itu bukan sih aa kamu kena yaa semoga cepet di refund kalo gak paling nanti dia kena imbasnya makan uang haram tapi tetep aja gak boleh ikhlas,0
119,119,2023-02-06 23:52:32+00:00,Hess Jan goblok,1
120,120,2023-02-06 23:52:23+00:00,Cewek gila kalau sange cari aja gigolo tolol,1
121,121,2023-02-06 23:52:22+00:00,YA LU NGOMONG ke cowo lu tolol gak semua orang tuh peka,1
122,122,2023-02-06 23:52:17+00:00,Tuduhan yang cukup serius dari cerita fiksi konon katanya Polri tolong pak polisi ada org gila yg sukanya tebar hoax pecundang mah pecundang aja ga usah tuduh sana sini noh mantan junjunganmu prabowo jd mentri jokowi,0
123,123,2023-02-06 23:52:16+00:00,tai sih katany gpny twit,0
124,124,2023-02-06 23:52:12+00:00,gila apalagi ya tuhan setiap hari ada aja berita kasus,0
125,125,2023-02-06 23:52:04+00:00,BANGSAT,1
126,126,2023-02-06 23:52:01+00:00,bangsat gua ngecas lupa pencet on,1
127,127,2023-02-06 23:51:59+00:00,ats Itu lo tau kn berarti bahwa dongeng hanyalah dongeng untuk menghibur sementara kaum simpatisan lobang tai pengennya bocil jd homo sejak dini,0
128,128,2023-02-06 23:51:54+00:00,wkwk sampe gila dong,0
129,129,2023-02-06 23:51:53+00:00,si grace natalie makin gila aja yg paling mantap si grace natalia dipasangkan dgn ganjar genjer untuk pilkada di uganda atau ethiopia,0
130,130,2023-02-06 23:51:48+00:00,Entah sendernya caper apa emang beneran tolol,0
131,131,2023-02-06 23:51:42+00:00,Terima kasih utk buat mood gw berantakan pagi ini BANGSAT,1
132,132,2023-02-06 23:51:42+00:00,goblok banget salah kirim,1
133,133,2023-02-06 23:51:36+00:00,jjur iya bgt anjr sejak main ml w jadi toxic parah hari ngomong tolol sm ajg,0
134,134,2023-02-06 23:51:34+00:00,Haram,0
135,135,2023-02-06 23:51:31+00:00,Tolol si cweknya Ga tau diri tuh Ratu Lo,1
136,136,2023-02-06 23:51:29+00:00,Sekelas Chelsea sekarang butuh pelatih mental Gila Jaman berubah banget Zaman Terry Lampard dan Drogba atau jauh sebelumnya si Desailly hingga Viali mentalitas cukup diletakkan oleh Captain tim dan Pelatih Kini semakin membuktikan kalau mental manusia sekarang melemah,0
137,137,2023-02-06 23:51:27+00:00,Kalau orang goblok itu tak pandai menghitung makanya lebih cepat mulai usaha Kalau orang pinter menghitungnya injlimet jadi nggak mulai,0
138,138,2023-02-06 23:51:19+00:00,Gue semalem mimpi nonton konser dream trus Jeno rambutnya dikepang APA GA GILA LO LIAT JENO KEPANGAN KAYA MARK WAKTU ITU Dimimpi tuh gue sampe mastiin trus nanya temen gue eh itu Jeno dikepang kan PAS BANGUN JIWA GUE KEK MASIH KETINGGALAN WOY KECEWA BGT ITU CUMA MIMPI,0
139,139,2023-02-06 23:51:17+00:00,Gila men buldep gua udh tua jg umurnya,1
140,140,2023-02-06 23:51:15+00:00,Daring kaya tai Say hi dulu sm ojol ku awokaowkaokwa JIxJ,0
141,141,2023-02-06 23:51:15+00:00,anjgg pagi buat gw emosi ajaa ajg gw mw kerja babi tai ahh benci bgt gw drmh ajgg kabur aja kali yaa dr rmh hhaa ahh taii lahh bgst,0
142,142,2023-02-06 23:51:10+00:00,Salafi emang kalo bukan tukang nyinyir tukang ngevlog dan tukang kibul Maklum ustadz nya tolol semua kaya firanda yazid jawaz,1
143,143,2023-02-06 23:50:56+00:00,so vivid alhamdulillah jadi cegil alias cewe gila setelah liat teaser jeno agaknya jeno sendiri lebih gila lagi GOat,0
144,144,2023-02-06 23:50:48+00:00,orang yg tiap hari ngomong anjing bla anjir goblok bego enaknya diapain ya bosen gw denger nya,1
145,145,2023-02-06 23:50:48+00:00,Kontol goblokmu lo su asu,1
146,146,2023-02-06 23:50:46+00:00,ini kenapa si tolol dibawa bawa si,0
147,147,2023-02-06 23:50:44+00:00,bajingan dritadi kek monyet,1
148,148,2023-02-06 23:50:42+00:00,gila udah macet aja ni di bypass ah tau gitu pake motor aja deh tapi da,0
149,149,2023-02-06 23:50:42+00:00,For god sake itu bapaknya woy lo tolol atau apa sih Iri hati banget lo yg ngeri mikirnya kejauhan Lagian pertinyiinnyi lo ngapain kepo Wajarlah bapak jauh dri anaknya pengen liat gimna anaknya skrg Ada org tolol begini,1
150,150,2023-02-06 23:50:41+00:00,Ngemis onlen Yg butuh situ yg suru bayarin kita Goblok,1
151,151,2023-02-06 23:50:27+00:00,Tak bosan nya mengetik kata ini TOLOL,1
152,152,2023-02-06 23:50:26+00:00,makanya jgn tolol,0
153,153,2023-02-06 23:50:17+00:00,eh tapi gw lupa udah baca sampe part berapa soalnya baca sapta nadit di akun sebelah tapi tiap partnya bikin gila bgtt,0
154,154,2023-02-06 23:50:14+00:00,actually I m not sure itu penjara or rumah sakit jiwa cuma karena si FL nya pikir orang mengira dirinya gila karena kekuatan yang dia juga clueless makanya tempat itu bisa kaya penjara yang nampung orang gila kamu nanti gak nyangka dari tempat itu ceritanya bisa gede,0
155,155,2023-02-06 23:50:13+00:00,KONTOL,1
156,156,2023-02-06 23:50:12+00:00,Wis paling bener gausah dipikir buang tenaga rapenting bangsat,1
157,157,2023-02-06 23:50:11+00:00,Tolol bgt dah ngepack sabukk keknya ga dibawaa,1
158,158,2023-02-06 23:50:09+00:00,Lo kontol,1
159,159,2023-02-06 23:50:03+00:00,L Keparat Antek Cina Festival Cina Tai Bikin Susah Masyarakat,1
160,160,2023-02-06 23:49:55+00:00,Before ni pernah crush gila dekat someone tapi bila tengok dia taknak serius buat masa ni so i terima yang betul nak serius and betul ada effort,0
161,161,2023-02-06 23:49:55+00:00,Gila ya Shohei bener dr bawah jir Proud,0
162,162,2023-02-06 23:49:51+00:00,Ayolah bro buat kalimat lu jelas agar orang tidak menganggap lu IQ jongkok atau rendah atau cetek alias goblok Yang lu maksud warga mana yang IQ rendah dan IQ tinggi,0
163,163,2023-02-06 23:49:50+00:00,Pusing selagi boleh pusinh haha joim dgn parti setahun jagung Berjuta duit parti siap bersumpah lagi baru dpt duit Apa kah gila puak nie,0
164,164,2023-02-06 23:49:46+00:00,Gue tau emang gue banyak drama gue nyebelin gue kek taheekk gue kek orang tolol dan impulsif tapi sayang nyanya banyak,0
165,165,2023-02-06 23:49:46+00:00,Lo bodoh banget sumpah Udah dikasih penjelasan panjang lebar di video tapi tetap nyalahin pakaian perempuan itu goblok sih namanya Bebal Mending jauh deh lo dari thread beginian Ini thread buat orang yang bisa mikir bukan tempat nyari celah untuk tetap nyalahin korban,0
166,166,2023-02-06 23:49:44+00:00,berani bgt nge scam pake alasan umroh lu gatakut APA YAA GILA LU,1
167,167,2023-02-06 23:49:44+00:00,Lebih goblok elu sih elu yg kagak paham sama replyan si mbak ava kucing malah lantang bener ngatain org goblok Dipahami konteksnya dulu makanya sebelum berkomentar wkwkkw,0
168,168,2023-02-06 23:49:38+00:00,Kamu yg dungu bangsat banci kaleng,1
169,169,2023-02-06 23:49:38+00:00,bangsat gua tau lagi snapnya siapa,1
170,170,2023-02-06 23:49:34+00:00,org makin gila,0
171,171,2023-02-06 23:49:27+00:00,HAH GILA CAKEP BGT MASYAALLAH,0
172,172,2023-02-06 23:49:20+00:00,tai emang ni yutuber begini,0
173,173,2023-02-06 23:49:18+00:00,Bangsat,1
174,174,2023-02-06 23:49:16+00:00,ada gila gilanya jual ampe,0
175,175,2023-02-06 23:49:08+00:00,gila mie ayam dibagi,0
176,176,2023-02-06 23:49:07+00:00,niat gw keluar rumah mau menghirup udara segar ini malah nginjek tai kotok sialan,0
177,177,2023-02-06 23:49:07+00:00,Plis gausah kasian sama orang gatau diri kek gitu mending lu putus aja udah kelakuan cowo lo kyk kontol masih aja kasian,1
178,178,2023-02-06 23:49:04+00:00,semoga aku tidak GILA,0
179,179,2023-02-06 23:48:52+00:00,sellernya jahat tp yg beli ovp sampe nawar harga jg tolol mereka mah cm ikutin pasar org kemarin ada bahkan ngebid sampe juta an kok ya kali ga dimanfaatkan kalo mau harga normal yaudah kalo ada yg jual gausah ngebid segala mau aja dimanfaatin org,0
180,180,2023-02-06 23:48:48+00:00,ayo plis makin banyak dong btsvt gue gpp banget walau jiwa ini hampir gila,0
181,181,2023-02-06 23:48:48+00:00,ali AKUN SEPERTI INILAH KAU IKUTI APA GAK MAKIN TOLOL KO,1
182,182,2023-02-06 23:48:46+00:00,Powerchain sakit bgt gila gue sampe pusing Padahal baru gigi,0
183,183,2023-02-06 23:48:35+00:00,LUCU BGT GILA,0
184,184,2023-02-06 23:48:26+00:00,Aku harus reaksi gimana lagi ya daritadi udah senyum sendiri bacanya kaya orang gila,0
185,185,2023-02-06 23:48:23+00:00,Gila bener rentetan wfo dr senin rabu kamis ngurus visa jumat ke travel fair sabtu konser dewa membuat nyawa gw blm balik smpe skrg msh lemes bgt wkwkwk,0
186,186,2023-02-06 23:48:10+00:00,bangsat,1
187,187,2023-02-06 23:48:09+00:00,pagi lari dari parkiran ke kelas tu cape banget gila,0
188,188,2023-02-06 23:48:08+00:00,tolol siapa yang dikatain tolol akuu,1
189,189,2023-02-06 23:48:03+00:00,Save wa aku yg satu nih kalo sange hubungi aku ya aku siap di entot gratis ko yg penting kontol kmu enak uwV k LKT,1
190,190,2023-02-06 23:48:01+00:00,Preminger kaya tai,0
191,191,2023-02-06 23:48:01+00:00,Gila jaga terpanasku jatuh pada hari ini non stop kayak gosokan,0
192,192,2023-02-06 23:47:31+00:00,Bangsat emang,1
193,193,2023-02-06 23:47:19+00:00,ck Pipp gsp Gila udah kayak kerjaan preman institusi yg anda pimpin ini Coba pikir Makin banyak kasus makin hancur kepercayaan rakyat jelata bagi yg berkuasa dan punya duit mereka Polisi sudah seperti preman bayaran bedanya hanya berseragam,1
194,194,2023-02-06 23:47:13+00:00,bajingan km mah win WZHguS,1
195,195,2023-02-06 23:47:07+00:00,Tua bangka tolol buka mata loe malu sama umur Picek nyocotan,1
196,196,2023-02-06 23:46:54+00:00,Dan seru drama n film dy Hahahha nyan bit ka ku pateh qe Kalo lagi suka ya emang bakal gila bentar qe,0
197,197,2023-02-06 23:46:50+00:00,woy bangsat banyak bgt seragam lah berantem lah aduh anying,1
198,198,2023-02-06 23:46:45+00:00,diketawain tai di septic tank,1
199,199,2023-02-06 23:46:42+00:00,gila kirain tadi pas jatuh dari motor langsung pingsan eh tapi masih bisa sadar sambil nangis ya Allah gue ulangan hari ini gimana dong,0
200,200,2023-02-06 23:46:39+00:00,Jammed gila babi lah jalan wei argh,1
201,201,2023-02-06 23:46:34+00:00,dia gatau apaya senyum aja orang PADA SUKA ANJIR YAMPUN SIAPA YG BUAT HECAN GANTENG MANIS INI INSECURE SIH gaterima lo tuh keren pake BANGET PLIS LAH YAMPUN GUE NIH GILA KARNA LO MASA GITU AJA GA NYADAR SIH KALO LO TUH KEREN BINGIT,0
202,202,2023-02-06 23:46:32+00:00,morn knapa pagi kok udh gila,0
203,203,2023-02-06 23:46:29+00:00,haram K es krim kuu sayangku S apa sih ga usah peluk K panggil aku pakai nama makanan juga dong puppy eyes S babi goreng,0
204,204,2023-02-06 23:46:25+00:00,kadrun goblok gak paham atau goblok bermodal hafal quran trus diterima di fakultas kedokteran tanpa tes akademis ya sama aja membeli onta dlm karung,1
205,205,2023-02-06 23:46:21+00:00,GOBLOK ANJINGG,1
206,206,2023-02-06 23:46:08+00:00,udita bengla news channel gulo to emni tai sostar nesha kore,0
207,207,2023-02-06 23:46:02+00:00,bacott bat bacott kan fav lu ndiri yg bilang dia kaga siap solo jan kek tai,0
208,208,2023-02-06 23:46:01+00:00,org gila tidur anjg,1
209,209,2023-02-06 23:46:00+00:00,Gila apa lo Jeno blonde undecut era boom ga ada yg ngalahin pokoknya,0
210,210,2023-02-06 23:45:57+00:00,Comel gila minyak masak tuu aa,0
211,211,2023-02-06 23:45:57+00:00,apa ya pelajaran yg bs kupetik dari circle setan yg gila perempuan ini,0
212,212,2023-02-06 23:45:53+00:00,sipaling ngitung tai nih gua,0
213,213,2023-02-06 23:45:50+00:00,Iya njir gue punya kenalan baru lgsg minta pap sama vc tai,0
214,214,2023-02-06 23:45:46+00:00,Polici kaih mogo fie koun joint mi tai bachi yeh,0
215,215,2023-02-06 23:45:44+00:00,dumdum saya g perlu cerdas tp bisa bedaain mana bajingan mana yg bukan VHI c,0
216,216,2023-02-06 23:45:43+00:00,gila bgt sih kmrn cuman makan sayur doang dan itu dikitt bangett parah gara sayurnya dimakan sama nyokap dan udah tinggal dikit,0
217,217,2023-02-06 23:45:38+00:00,masing macam bangsat,1
218,218,2023-02-06 23:45:31+00:00,Lo tolol bgt nder sumpah,1
219,219,2023-02-06 23:45:23+00:00,Zodiak tai kucing,0
220,220,2023-02-06 23:45:22+00:00,Brand nya yg goblok sih,1
221,221,2023-02-06 23:45:18+00:00,Hahahaha kata haram dlm hidup ku utk punya hutang Hutangmu dgn Pakde banyak mana Bong Mau aku bantu Biar gak stress hidup kau Bodoh miskin buzzerp lagi Pasti banyak hutang Hahahaha,0
222,222,2023-02-06 23:45:15+00:00,tolol banget sihh anak siapa sihh gobloknya gk ke tolongan bangett,1
223,223,2023-02-06 23:45:12+00:00,gila ku tidur jam,0
224,224,2023-02-06 23:45:03+00:00,nie IYA TUH HANNIBIRU UANG HARAM,1
225,225,2023-02-06 23:45:00+00:00,ouwanna fakta ril no fek ya kak paling kl mau ngejar tiket harga murah mah malaysia singapore tuh bisa itupun kl ga begitu high demand kaya the link kalo high demand kaya bets ya sama aja di negara manapun mahalnya gila gilaan,0
226,226,2023-02-06 23:44:58+00:00,gue beruntung gila punya pasangan kayak agum dia itu perfect aslinya baik bgt orangnya,0
227,227,2023-02-06 23:44:55+00:00,Sdh jahat tolol pula Kau Mamad,1
228,228,2023-02-06 23:44:44+00:00,selasa pagi jelek banget tai,0
229,229,2023-02-06 23:44:42+00:00,BANYAK BNGTT MAMPUS MAKAN UANG HARAM L HANNIBIRU,1
230,230,2023-02-06 23:44:39+00:00,mesti begini setiap jam segini pasti ga jelas perasaan cape gila gini terus,0
231,231,2023-02-06 23:44:39+00:00,Cewe tolol suka banget nyari masalah,1
